datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
2011-06-14,31.8,15.7,69.3,2.1,19.8,1008.7,83.3,249.5
2011-06-15,26.8,17.4,85.3,7.7,18.0,1008.6,92.0,147.0
2011-06-16,28.0,16.4,78.6,10.2,16.9,1007.0,86.3,234.0
2011-06-17,30.1,16.2,76.5,13.5,17.3,1005.5,74.2,209.9
2011-06-18,28.4,15.7,78.2,3.2,18.0,1009.0,82.2,124.2
2011-06-19,28.7,16.2,81.5,4.6,24.5,1006.2,94.5,105.1
2011-06-20,24.3,18.9,85.3,35.1,17.3,1006.5,92.7,158.2
2011-06-21,25.7,16.7,80.1,3.6,13.0,1008.8,92.3,179.4
2011-06-22,28.8,16.2,80.3,3.9,18.0,1010.3,83.3,239.8
2011-06-23,28.7,17.2,79.5,4.8,15.8,1008.8,86.8,237.7
2011-06-24,28.4,16.9,88.7,20.3,14.8,1008.2,85.4,113.5
2011-06-25,27.7,17.2,82.9,11.9,14.4,1007.7,81.9,231.0
2011-06-26,28.8,17.7,78.6,17.1,14.4,1005.7,76.6,253.1
2011-06-27,29.9,16.2,84.3,8.5,17.6,1007.2,87.0,215.5
2011-06-28,26.1,16.7,85.0,26.5,19.1,1007.6,89.3,165.2
2011-06-29,25.0,16.9,84.5,20.2,13.7,1007.4,95.4,270.8
2011-06-30,22.3,17.7,88.5,24.3,15.1,1006.5,97.0,133.6
2012-06-01,33.9,18.1,76.6,0.8,22.7,1006.7,76.8,206.1
2012-06-02,30.9,16.4,70.5,0.0,8.3,1006.9,80.2,117.3
2012-06-03,29.4,16.1,69.5,1.0,13.0,1008.7,74.8,167.8
2012-06-04,28.7,16.4,78.0,0.7,16.6,1008.8,82.0,140.7
2012-06-05,31.1,14.7,72.6,0.0,14.8,1005.1,75.4,151.2
2012-06-06,31.4,15.7,73.3,0.2,18.0,1005.7,53.6,246.3
2012-06-07,31.4,15.4,74.0,1.2,18.4,1008.0,67.7,212.2
2012-06-08,30.2,14.9,74.6,1.7,15.8,1007.8,85.0,178.9
2012-06-09,31.7,19.1,65.4,0.9,14.4,1005.1,87.9,257.0
2012-06-10,31.2,17.2,67.0,3.5,18.7,1005.4,82.2,229.0
2012-06-11,31.9,19.2,68.2,1.2,19.1,1006.0,83.8,244.4
2012-06-12,31.8,16.2,68.5,0.3,18.7,1008.4,67.9,235.9
2012-06-13,32.0,14.1,63.0,4.3,15.5,1007.8,48.9,255.4
2012-06-14,29.7,14.6,66.8,35.8,11.2,1007.4,79.9,152.3
2012-06-15,26.9,18.4,72.3,31.0,9.7,1005.9,92.5,143.4
2012-06-16,25.9,17.2,89.8,83.2,32.4,1006.4,97.7,55.4
