year,datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
2010,2010-06-15 12:00:00,29.903333333333332,17.053333333333335,74.23666666666666,8.906666666666666,17.233333333333334,1008.9394186046512,77.13333333333334,211.86
2011,2011-06-15 12:00:00,29.403333333333332,16.85333333333333,74.83,7.88,17.956666666666667,1007.251511627907,83.26333333333334,201.32000000000002
2012,2012-06-15 12:00:00,28.163333333333334,16.886666666666667,78.42,12.776666666666667,17.013333333333332,1007.9215877712031,80.89333333333335,190.64666666666668
2013,2013-06-15 12:00:00,28.98,16.87333333333333,78.99333333333334,5.496666666666667,15.366666666666667,1008.6733333333334,84.11,218.11
2014,2014-06-15 12:00:00,27.663333333333334,17.089999999999996,81.30333333333333,9.106666666666666,15.386666666666667,1008.8766666666667,84.26666666666667,220.39
2015,2015-06-15 12:00:00,27.57,12.979999999999999,78.86333333333333,11.123333333333333,26.183333333333334,1015.3166666666667,83.2,227.29
2016,2016-06-15 12:00:00,27.316666666666666,13.129999999999999,82.24666666666667,13.433333333333334,9.006666666666666,1016.0266666666666,84.18666666666667,219.96666666666667
2017,2017-06-15 12:00:00,28.233333333333334,13.653333333333334,82.2,15.506666666666666,9.576666666666666,1014.0166666666667,91.06333333333333,191.81666666666666
2018,2018-06-15 12:00:00,27.816666666666666,12.833333333333334,81.91666666666667,11.58,9.356666666666666,1015.2733333333333,86.04333333333334,211.05666666666667
2019,2019-06-15 12:00:00,28.65,13.45,79.87666666666668,9.346666666666666,10.206666666666667,1015.3766666666667,77.75,230.39333333333335
2020,2020-06-15 12:00:00,30.003333333333334,13.286666666666667,76.84333333333333,9.093333333333334,11.066666666666666,1015.0066666666667,76.09666666666666,239.88
2021,2021-06-15 12:00:00,25.626666666666665,13.006666666666666,83.33,11.41,9.366666666666667,1015.6333333333333,92.10666666666665,185.5366666666667
2022,2022-06-15 12:00:00,28.176666666666666,11.8,77.00666666666666,9.71,12.436666666666667,1014.3566666666667,79.72333333333333,221.86
2023,2023-06-15 12:00:00,24.603333333333335,12.776666666666667,70.92333333333333,4.39,13.946666666666665,1014.8366666666666,49.01,286.65999999999997
2024,2024-06-15 12:00:00,31.703333333333333,13.243333333333334,68.99,6.746666666666667,14.063333333333333,1010.76,73.58,236.92666666666668
